cve_id,vfc
CVE-2021-23336,https://github.com/python/cpython/commit/69f2ef06139f20efa4400796c9ecf0758f05878c
CVE-2017-8847,https://github.com/buildroot/buildroot/commit/ec17cfab3dc8672acce43dfd57c276d850c19c13
CVE-2023-42455,https://github.com/wazuh/wazuh-kibana-app/commit/43ae38744809042395834003b958afd16ffebadf
CVE-2018-19148,https://github.com/mholt/caddy/commit/be96cc0e656de2cac5913508f1dfab79872bfd7e
CVE-2023-41338,https://github.com/gofiber/fiber/commit/b8c9ede6efa231116c4bd8bb9d5e03eac1cb76dc
CVE-2017-6319,https://github.com/radare/radare2/commit/ad55822430a03fe075221b543efb434567e9e431
CVE-2021-3689,https://github.com/yiisoft/yii2/commit/13f27e4d920a05d53236139e8b07007acd046a46
CVE-2020-35518,https://github.com/389ds/389-ds-base/commit/b6aae4d8e7c8a6ddd21646f94fef1bf7f22c3f32
CVE-2022-3959,https://github.com/drogonframework/drogon/commit/7113c79ee7242f03889fc6e53414721eb3e70178
CVE-2022-35920,https://github.com/sanic-org/sanic/commit/73b1a1cc610b9d9624d068f85d57eb05ec735156
CVE-2022-31100,https://github.com/rulex-rs/rulex/commit/fac6d58b25c6f9f8c0a6cdc4dec75b37b219f1d6
CVE-2021-32728,https://github.com/nextcloud/desktop/commit/7fb09a81632de6066e55def20308d6e61cadbc48
CVE-2020-15118,https://github.com/wagtail/wagtail/commit/d9a41e7f24d08c024acc9a3094940199df94db34
CVE-2023-39518,https://github.com/fobybus/social-media-skeleton/commit/6765d1109016e1f1d707ef47917927c7704e6428
CVE-2022-36027,https://github.com/tensorflow/tensorflow/commit/aa0b852a4588cea4d36b74feb05d93055540b450
CVE-2022-29035,https://github.com/ktorio/ktor/commit/40c85284485e68bfb5cc6cfb6a222b9dccc319fc
CVE-2021-32689,https://github.com/nextcloud/spreed/commit/3e88db0678bd990b7b3360fdc2fc58eddf3939fa
CVE-2017-14341,https://github.com/ImageMagick/ImageMagick/commit/7d63315a64267c565d1f34b9cb523a14616fed24
CVE-2022-31166,https://github.com/xwiki/xwiki-platform/commit/5f8e7e876d6eca21cc48ac1041d594074232cb48
CVE-2017-14040,https://github.com/uclouvain/openjpeg/commit/2cd30c2b06ce332dede81cccad8b334cde997281
CVE-2022-46147,https://github.com/openedx/xblock-drag-and-drop-v2/commit/27cc6cc3fe4460af2e2187d5ad4dd5d67b97058f
CVE-2021-42836,https://github.com/tidwall/gjson/commit/590010fdac311cc8990ef5c97448d4fec8f29944
CVE-2023-48706,https://github.com/vim/vim/commit/c8c2384f60d2fc7288038cbcb35a77182b28bd30
CVE-2022-3225,https://github.com/budibase/budibase/commit/d35864be0854216693a01307f81ffcabf6d549df
CVE-2022-0319,https://github.com/vim/vim/commit/05b27615481e72e3b338bb12990fb3e0c2ecc2a9
CVE-2023-30450,https://github.com/redpanda-data/redpanda/commit/3dfa1d2d326ce0c02477c4650d0b761675524926
CVE-2022-31052,https://github.com/matrix-org/synapse/commit/fa1308061802ac7b7d20e954ba7372c5ac292333
CVE-2021-32622,https://github.com/matrix-org/matrix-react-sdk/commit/dc50d27985a94a2e8f5290e4ac645461f0d272af
CVE-2016-9134,https://github.com/exponentcms/exponent-cms/commit/d5c3c175b60bd26b2b74ec85b8f0d2544db2c8db
CVE-2019-16237,https://github.com/dino/dino/commit/307f16cc86dd2b95aa02ab8a85110e4a2d5e7363
CVE-2020-23264,https://github.com/forkcms/forkcms/commit/fefa5f048a99ebc00dab754a3cdec64b2f06e394
CVE-2018-7186,https://github.com/DanBloomberg/leptonica/commit/ee301cb2029db8a6289c5295daa42bba7715e99a
CVE-2021-29591,https://github.com/tensorflow/tensorflow/commit/9c1dc920d8ffb4893d6c9d27d1f039607b326743
CVE-2012-6708,https://github.com/jquery/jquery/commit/05531fc4080ae24070930d15ae0cea7ae056457d
CVE-2015-10107,https://github.com/wp-plugins/simplr-registration-form/commit/d588446844dd49232ab400ef213ff5b92121c33e
CVE-2021-41230,https://github.com/pomerium/pomerium/commit/f20542c4bf2cc691e4c324f7ec79e02e46d95511
CVE-2017-12901,https://github.com/the-tcpdump-group/tcpdump/commit/de981e6070d168b58ec1bb0713ded77ed4ad87f4
CVE-2020-7356,https://github.com/rapid7/metasploit-framework/commit/7bd2ba3aedddc10ef05769ca7c3dabae9ea15805
CVE-2018-1000820,https://github.com/neo4j-contrib/neo4j-apoc-procedures/commit/2d03f5aa318096d44160608f2f4d2e04aaf07331
CVE-2017-18352,https://github.com/GoogleChrome/rendertron/commit/cad18b3a5d420263f14d151ae35c9274d2038143
CVE-2022-0766,https://github.com/janeczku/calibre-web/commit/965352c8d96c9eae7a6867ff76b0db137d04b0b8
CVE-2023-22997,https://github.com/torvalds/linux/commit/45af1d7aae7d5520d2858f8517a1342646f015db
CVE-2019-12997,https://github.com/icon-project/loopchain/commit/05cd65ea482ba74e01da3e0c622c31321d363889
CVE-2023-44487,https://github.com/opensearch-project/data-prepper/commit/56283fd4d2490f1184fa5c28585658199c0f1844
CVE-2020-24881,https://github.com/osTicket/osTicket/commit/d98c2d096aeb8876c6ab2f88317cd371d781f14d
CVE-2023-31133,https://github.com/TryGhost/Ghost/commit/b3caf16005289cc9909488391b4a26f3f4a66a90
CVE-2018-25047,https://github.com/smarty-php/smarty/commit/55ea25d1f50f0406fb1ccedd212c527977793fc9
CVE-2013-6383,https://github.com/torvalds/linux/commit/f856567b930dfcdbc3323261bf77240ccdde01f5
CVE-2023-6039,https://github.com/torvalds/linux/commit/1e7417c188d0a83fb385ba2dbe35fd2563f2b6f3
CVE-2023-33965,https://github.com/txthinking/brook/commit/314d7070c37babf6c38a0fe1eada872bb74bf03e
CVE-2016-7954,https://github.com/sfcgeorge/rails-assets/commit/a8da6e5d89271d3a213c3517ba29bf9212385ec7
CVE-2011-1476,https://github.com/torvalds/linux/commit/b769f49463711205d57286e64cf535ed4daf59e9
CVE-2018-17582,https://github.com/appneta/tcpreplay/commit/6d2fd968d8d520283b96986945a1b91c8a60131b
CVE-2023-27786,https://github.com/appneta/tcpreplay/commit/128ecaf70c6ad66f845b24b5dbaaefc934f91c03
CVE-2017-15218,https://github.com/solus-packages/imagemagick/commit/c588ef24ab465a24be3e25c9645676c5e6396986
CVE-2011-2479,https://github.com/torvalds/linux/commit/78f11a255749d09025f54d4e2df4fbcb031530e2
